Age Group (CH),Sex (CH),Sex (EN),Year,Number of Persons
≦ 15,女,F,1991,961.0
≦ 15,男,M,1991,6083.0
16 - 20,女,F,1991,811.0
16 - 20,男,M,1991,7354.0
21 - 24,女,F,1991,576.0
21 - 24,男,M,1991,4868.0
25 - 29,女,F,1991,746.0
25 - 29,男,M,1991,5922.0
30 - 34,女,F,1991,862.0
30 - 34,男,M,1991,5224.0
35 - 39,女,F,1991,639.0
35 - 39,男,M,1991,3679.0
40 - 44,女,F,1991,395.0
40 - 44,男,M,1991,2150.0
45 - 49,女,F,1991,195.0
45 - 49,男,M,1991,1045.0
50 - 54,女,F,1991,166.0
50 - 54,男,M,1991,702.0
55 - 59,女,F,1991,124.0
55 - 59,男,M,1991,536.0
≧ 60,女,F,1991,204.0
≧ 60,男,M,1991,817.0
≦ 15,女,F,1996,1590.0
≦ 15,男,M,1996,4889.0
16 - 20,女,F,1996,1198.0
16 - 20,男,M,1996,6743.0
21 - 24,女,F,1996,938.0
21 - 24,男,M,1996,5043.0
25 - 29,女,F,1996,1011.0
25 - 29,男,M,1996,5049.0
30 - 34,女,F,1996,1018.0
30 - 34,男,M,1996,4851.0
35 - 39,女,F,1996,869.0
35 - 39,男,M,1996,4685.0
40 - 44,女,F,1996,693.0
40 - 44,男,M,1996,3197.0
45 - 49,女,F,1996,386.0
45 - 49,男,M,1996,1953.0
50 - 54,女,F,1996,184.0
50 - 54,男,M,1996,814.0
55 - 59,女,F,1996,141.0
55 - 59,男,M,1996,667.0
≧ 60,女,F,1996,265.0
≧ 60,男,M,1996,973.0
≦ 15,女,F,2001,1627.0
≦ 15,男,M,2001,4282.0
16 - 20,女,F,2001,1141.0
16 - 20,男,M,2001,5004.0
21 - 24,女,F,2001,825.0
21 - 24,男,M,2001,3580.0
25 - 29,女,F,2001,941.0
25 - 29,男,M,2001,4023.0
30 - 34,女,F,2001,1000.0
30 - 34,男,M,2001,3013.0
35 - 39,女,F,2001,1058.0
35 - 39,男,M,2001,2863.0
40 - 44,女,F,2001,915.0
40 - 44,男,M,2001,2677.0
45 - 49,女,F,2001,628.0
45 - 49,男,M,2001,1824.0
50 - 54,女,F,2001,394.0
50 - 54,男,M,2001,1134.0
55 - 59,女,F,2001,167.0
55 - 59,男,M,2001,493.0
≧ 60,女,F,2001,356.0
≧ 60,男,M,2001,884.0
≦ 15,女,F,2006,1192.0
≦ 15,男,M,2006,3318.0
16 - 20,女,F,2006,914.0
16 - 20,男,M,2006,4060.0
21 - 24,女,F,2006,752.0
21 - 24,男,M,2006,2890.0
25 - 29,女,F,2006,1082.0
25 - 29,男,M,2006,3972.0
30 - 34,女,F,2006,1316.0
30 - 34,男,M,2006,3822.0
35 - 39,女,F,2006,1269.0
35 - 39,男,M,2006,3063.0
40 - 44,女,F,2006,1279.0
40 - 44,男,M,2006,2956.0
45 - 49,女,F,2006,975.0
45 - 49,男,M,2006,2888.0
50 - 54,女,F,2006,722.0
50 - 54,男,M,2006,1986.0
55 - 59,女,F,2006,405.0
55 - 59,男,M,2006,1201.0
≧ 60,女,F,2006,676.0
≧ 60,男,M,2006,1490.0
≦ 15,女,F,2011,844.0
≦ 15,男,M,2011,2499.0
16 - 20,女,F,2011,665.0
16 - 20,男,M,2011,3685.0
21 - 24,女,F,2011,654.0
21 - 24,男,M,2011,2474.0
25 - 29,女,F,2011,1041.0
25 - 29,男,M,2011,2988.0
30 - 34,女,F,2011,1152.0
30 - 34,男,M,2011,2895.0
35 - 39,女,F,2011,1255.0
35 - 39,男,M,2011,2842.0
40 - 44,女,F,2011,1208.0
40 - 44,男,M,2011,2393.0
45 - 49,女,F,2011,1045.0
45 - 49,男,M,2011,2167.0
50 - 54,女,F,2011,833.0
50 - 54,男,M,2011,2117.0
55 - 59,女,F,2011,664.0
55 - 59,男,M,2011,1470.0
≧ 60,女,F,2011,1286.0
≧ 60,男,M,2011,2150.0
≦ 15,女,F,2012,543.0
≦ 15,男,M,2012,1945.0
16 - 20,女,F,2012,644.0
16 - 20,男,M,2012,3390.0
21 - 24,女,F,2012,644.0
21 - 24,男,M,2012,2406.0
25 - 29,女,F,2012,1012.0
25 - 29,男,M,2012,3042.0
30 - 34,女,F,2012,1127.0
30 - 34,男,M,2012,3265.0
35 - 39,女,F,2012,1225.0
35 - 39,男,M,2012,3123.0
40 - 44,女,F,2012,1258.0
40 - 44,男,M,2012,2536.0
45 - 49,女,F,2012,1135.0
45 - 49,男,M,2012,2244.0
50 - 54,女,F,2012,926.0
50 - 54,男,M,2012,2134.0
55 - 59,女,F,2012,697.0
55 - 59,男,M,2012,1632.0
≧ 60,女,F,2012,1346.0
≧ 60,男,M,2012,2341.0
≦ 15,女,F,2013,485.0
≦ 15,男,M,2013,1598.0
16 - 20,女,F,2013,611.0
16 - 20,男,M,2013,2703.0
21 - 24,女,F,2013,614.0
21 - 24,男,M,2013,2157.0
25 - 29,女,F,2013,956.0
25 - 29,男,M,2013,2832.0
30 - 34,女,F,2013,1111.0
30 - 34,男,M,2013,2928.0
35 - 39,女,F,2013,1226.0
35 - 39,男,M,2013,3001.0
40 - 44,女,F,2013,1222.0
40 - 44,男,M,2013,2505.0
45 - 49,女,F,2013,1088.0
45 - 49,男,M,2013,2116.0
50 - 54,女,F,2013,958.0
50 - 54,男,M,2013,2198.0
55 - 59,女,F,2013,798.0
55 - 59,男,M,2013,1643.0
