Age Group,Sex (CH),Sex,Year,Admissions
14 - 17,女,F,1986,48.0
14 - 17,男,M,1986,527.0
18 - 20,女,F,1986,130.0
18 - 20,男,M,1986,882.0
21 - 24,女,F,1986,277.0
21 - 24,男,M,1986,1731.0
25 - 29,女,F,1986,224.0
25 - 29,男,M,1986,2003.0
30 - 34,女,F,1986,115.0
30 - 34,男,M,1986,1642.0
35 - 39,女,F,1986,70.0
35 - 39,男,M,1986,1134.0
40 - 44,女,F,1986,28.0
40 - 44,男,M,1986,513.0
45 - 49,女,F,1986,19.0
45 - 49,男,M,1986,418.0
50 - 54,女,F,1986,14.0
50 - 54,男,M,1986,332.0
55 - 59,女,F,1986,12.0
55 - 59,男,M,1986,256.0
≧ 60,女,F,1986,7.0
≧ 60,男,M,1986,280.0
14 - 17,女,F,1991,84.0
14 - 17,男,M,1991,768.0
18 - 20,女,F,1991,204.0
18 - 20,男,M,1991,1279.0
21 - 24,女,F,1991,311.0
21 - 24,男,M,1991,2519.0
25 - 29,女,F,1991,254.0
25 - 29,男,M,1991,2775.0
30 - 34,女,F,1991,187.0
30 - 34,男,M,1991,1867.0
35 - 39,女,F,1991,108.0
35 - 39,男,M,1991,1319.0
40 - 44,女,F,1991,65.0
40 - 44,男,M,1991,877.0
45 - 49,女,F,1991,33.0
45 - 49,男,M,1991,383.0
50 - 54,女,F,1991,15.0
50 - 54,男,M,1991,242.0
55 - 59,女,F,1991,13.0
55 - 59,男,M,1991,164.0
≧ 60,女,F,1991,13.0
≧ 60,男,M,1991,168.0
14 - 17,女,F,1996,156.0
14 - 17,男,M,1996,590.0
18 - 20,女,F,1996,533.0
18 - 20,男,M,1996,1283.0
21 - 24,女,F,1996,1075.0
21 - 24,男,M,1996,2246.0
25 - 29,女,F,1996,862.0
25 - 29,男,M,1996,2381.0
30 - 34,女,F,1996,558.0
30 - 34,男,M,1996,2108.0
35 - 39,女,F,1996,333.0
35 - 39,男,M,1996,1773.0
40 - 44,女,F,1996,242.0
40 - 44,男,M,1996,1460.0
45 - 49,女,F,1996,114.0
45 - 49,男,M,1996,955.0
50 - 54,女,F,1996,40.0
50 - 54,男,M,1996,359.0
55 - 59,女,F,1996,28.0
55 - 59,男,M,1996,253.0
≧ 60,女,F,1996,25.0
≧ 60,男,M,1996,246.0
14 - 17,女,F,2001,260.0
14 - 17,男,M,2001,404.0
18 - 20,女,F,2001,1148.0
18 - 20,男,M,2001,757.0
21 - 24,女,F,2001,1404.0
21 - 24,男,M,2001,1795.0
25 - 29,女,F,2001,1252.0
25 - 29,男,M,2001,2367.0
30 - 34,女,F,2001,1224.0
30 - 34,男,M,2001,2021.0
35 - 39,女,F,2001,1073.0
35 - 39,男,M,2001,1772.0
40 - 44,女,F,2001,636.0
40 - 44,男,M,2001,1393.0
45 - 49,女,F,2001,464.0
45 - 49,男,M,2001,1113.0
50 - 54,女,F,2001,269.0
50 - 54,男,M,2001,705.0
55 - 59,女,F,2001,148.0
55 - 59,男,M,2001,291.0
≧ 60,女,F,2001,77.0
≧ 60,男,M,2001,286.0
14 - 17,女,F,2006,185.0
14 - 17,男,M,2006,378.0
18 - 20,女,F,2006,723.0
18 - 20,男,M,2006,648.0
21 - 24,女,F,2006,1115.0
21 - 24,男,M,2006,1298.0
25 - 29,女,F,2006,1317.0
25 - 29,男,M,2006,2064.0
30 - 34,女,F,2006,1367.0
30 - 34,男,M,2006,2352.0
35 - 39,女,F,2006,1297.0
35 - 39,男,M,2006,2138.0
40 - 44,女,F,2006,1030.0
40 - 44,男,M,2006,1928.0
45 - 49,女,F,2006,516.0
