Offence (CH),Offence Type,Sex (CH),Sex,Year,Admissions
侵犯人身的暴力罪行,Violent crime against person,女,F,2001,33.0
侵犯人身的暴力罪行,Violent crime against person,男,M,2001,612.0
侵犯財物的暴力罪行,Violent crime against property,女,F,2001,13.0
侵犯財物的暴力罪行,Violent crime against property,男,M,2001,393.0
爆竊、盜竊及接贓,"Burglary, theft and handling stolen goods",女,F,2001,407.0
爆竊、盜竊及接贓,"Burglary, theft and handling stolen goods",男,M,2001,2319.0
詐騙及偽造文件,Fraud and forgery,女,F,2001,108.0
詐騙及偽造文件,Fraud and forgery,男,M,2001,313.0
淫褻（色情罪行）,Indecency (sexual offences),女,F,2001,605.0
淫褻（色情罪行）,Indecency (sexual offences),男,M,2001,1055.0
毒品罪行,Drug offences,女,F,2001,302.0
毒品罪行,Drug offences,男,M,2001,2687.0
違背合法權力罪行,Offences against lawful authority,女,F,2001,310.0
違背合法權力罪行,Offences against lawful authority,男,M,2001,336.0
入境罪行,Immigration offences,女,F,2001,5962.0
入境罪行,Immigration offences,男,M,2001,2887.0
防範性罪行,Preventive crime,女,F,2001,3.0
防範性罪行,Preventive crime,男,M,2001,209.0
刑事毀壞,Criminal damage,女,F,2001,1.0
刑事毀壞,Criminal damage,男,M,2001,54.0
非法會社罪行,Unlawful society offences,女,F,2001,1.0
非法會社罪行,Unlawful society offences,男,M,2001,64.0
串謀,Conspiracy,女,F,2001,46.0
串謀,Conspiracy,男,M,2001,94.0
雜項罪行,Miscellaneous crimes,女,F,2001,164.0
雜項罪行,Miscellaneous crimes,男,M,2001,1881.0
侵犯人身的暴力罪行,Violent crime against person,女,F,2006,75.0
侵犯人身的暴力罪行,Violent crime against person,男,M,2006,875.0
侵犯財物的暴力罪行,Violent crime against property,女,F,2006,18.0
侵犯財物的暴力罪行,Violent crime against property,男,M,2006,407.0
爆竊、盜竊及接贓,"Burglary, theft and handling stolen goods",女,F,2006,812.0
爆竊、盜竊及接贓,"Burglary, theft and handling stolen goods",男,M,2006,3216.0
詐騙及偽造文件,Fraud and forgery,女,F,2006,183.0
詐騙及偽造文件,Fraud and forgery,男,M,2006,374.0
淫褻（色情罪行）,Indecency (sexual offences),女,F,2006,908.0
